year,name,total_pop,total_hisc_pop,total_dominican_pop,state
2010-01-01,Florida,18843326.0,18843326.0,174276.0,12
2010-01-01,Georgia,9712587.0,9712587.0,20824.0,13
2010-01-01,Hawaii,1363621.0,1363621.0,326.0,15
2010-01-01,Idaho,1571450.0,1571450.0,796.0,16
2010-01-01,Illinois,12843166.0,12843166.0,5311.0,17
2010-01-01,Indiana,6490621.0,6490621.0,3172.0,18
2010-01-01,Iowa,3049883.0,3049883.0,439.0,19
2010-01-01,Kansas,2859169.0,2859169.0,1025.0,20
2010-01-01,Kentucky,4346266.0,4346266.0,1435.0,21
2010-01-01,Louisiana,4544228.0,4544228.0,2311.0,22
2010-01-01,Maine,1327567.0,,,23
2010-01-01,Maryland,5785982.0,5785982.0,13844.0,24
2010-01-01,Massachusetts,6557254.0,6557254.0,118656.0,25
2010-01-01,Michigan,9877574.0,9877574.0,4009.0,26
2010-01-01,Minnesota,5310584.0,5310584.0,1590.0,27
2010-01-01,Mississippi,2970036.0,2970036.0,426.0,28
2010-01-01,Missouri,5996231.0,5996231.0,1722.0,29
2010-01-01,Montana,990898.0,,,30
2010-01-01,Nebraska,1830429.0,1830429.0,918.0,31
2010-01-01,Nevada,2704642.0,2704642.0,1815.0,32
2010-01-01,New Hampshire,1316759.0,,,33
2010-01-01,New Jersey,8801624.0,8801624.0,204699.0,34
2010-01-01,New Mexico,2065932.0,2065932.0,249.0,35
2010-01-01,New York,19392283.0,19392283.0,725123.0,36
2010-01-01,North Carolina,9561558.0,9561558.0,15013.0,37
2010-01-01,North Dakota,674499.0,,,38
2010-01-01,Ohio,11536182.0,11536182.0,8179.0,39
2010-01-01,Oklahoma,3761702.0,3761702.0,780.0,40
2010-01-01,Oregon,3838957.0,3838957.0,1166.0,41
2010-01-01,Pennsylvania,12709630.0,12709630.0,66345.0,42
2010-01-01,Rhode Island,1052886.0,1052886.0,45277.0,44
2010-01-01,South Carolina,4636312.0,4636312.0,2091.0,45
2010-01-01,South Dakota,816463.0,,,46
2010-01-01,Tennessee,6356897.0,6356897.0,3149.0,47
2010-01-01,Texas,25257114.0,25257114.0,13038.0,48
2010-01-01,Utah,2776469.0,2776469.0,950.0,49
2010-01-01,Vermont,625960.0,,,50
2010-01-01,Virginia,8024617.0,8024617.0,10033.0,51
